[2026-07-15 20:07:18.000][INF] The COM:HCCoreBase ver is 6.1.4.15, 2020_03_05. Async:1.
[2026-07-15 20:07:18.000][INF] The COM:Core ver is 6.1.11.5, 2025_12_04. Async:1.
[2026-07-15 20:07:18.000][INF] This HCNetSDK ver is 6.1.11.5 Ver 2025_12_04.
[2026-07-15 20:07:18.001][INF] COM_Login dev 192.168.1.64:8000.
[2026-07-15 20:07:18.001][INF] dwTotalNum[2048]
[2026-07-15 20:07:18.002][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x10000 port=36152
[2026-07-15 20:07:18.002][INF] LogonDev1 in[192.168.1.64:8000]
[2026-07-15 20:07:18.004][ERR] PRO_RecvProData_NewMemory pRecv->uiDvrStatus[1300] is not QULIFIED(1)
[2026-07-15 20:07:18.052][ERR] PRO_RecvProData_NewMemory pRecv->uiDvrStatus[16777315] is not QULIFIED(1)
[2026-07-15 20:07:21.948][DBG] CComBase::Load, Load szDllPath[/home/nvidia/kybot_ws/src/HK/C++demo/consoleDemo/linux64/lib/HCNetSDKCom/libHCPreview.so] SUCC
[2026-07-15 20:07:21.949][INF] AbilityAnalyze---Init-- start
[2026-07-15 20:07:21.954][DBG] AbilityAnalyze---Init-- over, DeviceList path [/home/nvidia/kybot_ws/src/HK/C++demo/consoleDemo/linux64/lib/HCNetSDKCom/LocalXml/DeviceList.xml], load result[0]
[2026-07-15 20:07:21.955][DBG] COM_Preview_GetSDKBuildVersion
[2026-07-15 20:07:21.955][INF] The COM:Preview ver is 6.1.11.5, 2025_12_04.
[2026-07-15 20:11:16.685][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=50470
[2026-07-15 20:11:18.753][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=38008
[2026-07-15 20:11:20.752][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=38018
[2026-07-15 20:11:22.753][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=38028
[2026-07-15 20:11:24.753][INF] Private connect 192.168.1.64:8000 sock=259 this=0xf80f3e94 cmd=0x30200 port=38030
[2026-07-15 20:11:26.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=38038
[2026-07-15 20:11:28.748][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=41800
[2026-07-15 20:11:28.916][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=41804
[2026-07-15 20:11:29.860][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=41818
[2026-07-15 20:11:30.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=41830
[2026-07-15 20:11:30.822][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=41836
[2026-07-15 20:11:31.285][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=41838
